firstName	lastName	bio	birth	death	image	nid
Charles Victor de	Bonstetten	Swiss Liberal Writer	1745	1832	220px-Karl_Viktor_von_Bonstetten[1].jpg	187026
Murray	Bookchin	American Libertarian Socialist Author, Orator, Philosopher and Pioneer in the Ecology Movement	1921	2006	murray-bookchin1[1].jpg	187028
J. Allen	Boone	Author about nonverbal communication with animals 	1882	1965	61K6smcTJKL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU01_[1].jpg	187029
M. L.	Boren	American Author	NULL	NULL	aplausos[1].gif	187032
Robert	Bork, fully Robert Heron Bork	American Judge, Supreme Court Nominee, Legal Scholar, Professor of Law at Yale University, Author	1927	2012	bork_robert-19871217036F.2_png_380x600_crop_q85[1].png	187034
Hal  	Borland, formally Harold Glen Borland	American Newspaperman, Nature Writer, Novelist, Author	1900	1978	borland[1].jpg	187035
Frank	Borman, fully Frank Frederick Borman, II	NASA Astronaut and Engineer, remembered as the Commander of Apollo 8, the first mission to fly around the Moon	1928	NULL	220px-Frank_Borman[1].jpg	187036
Marcia	Borowsky	NULL	NULL	NULL	child-picking-flowers-thumb13443413[1].jpg	187038
Thomas	Boston	Scottish Divine, Theologian and Philosopher	1676	1732	thomas-boston-1[1].jpg	187042
James	Boswell	Scottish Lawyer, Man of Letters, Biographer of Samuel Johnson	1740	1795	james-boswell-200x281[1].jpg	187043
Kenneth	Boulding, fully Kenneth Ewart Boulding	British-American Economist, Educator, Peace Activist, Poet, Religious Mystic and devoted Quaker	1910	1993	Kenneth-E.-Boulding[1].jpg	187045
Francis William	Bourdillon	British Poet and Translator	1852	1921	Francis_William_Aston[1].jpg	187046
François	Bourgoing	French Monk	1585	1662	Jean-Fran%C3%A7ois_de_Bourgoing[1].jpg	187047
Margaret	Bourke-White	American Documentary Photographer	1904	1971	Bourke-White[1].jpg	187048
Christian Nestell	Bovee	American Author, Editor	1820	1904	christian-nestell-bovee[1].jpg	187050
Elizabeth 	Bowen, Full name  Elizabeth Dorothea Cole Bowen	Anglo-Irish Novelist, Short-Story Writer	1899	1973	elizabeth-bowen-avatar-1386[1].jpg	187051
Roger	Boyle, 1st Earl of Orrery, Baron Broghill	Irish Playwright, Soldier, Dramatist and Politician	1621	1679	roger_boyle_1st_earl_of_orrery[1].jpg	187053
F. H. 	Bradley, fully Frances Herbert "F.H." Bradley	English Idealist Metaphysical Philosopher and Writer	1846	1924	Bradley6[1].jpg	187055
Aaron M.	Brafman	Austrian-born American Rabbi, Leader of various Jewish Organizations	NULL	1999	DSC_8645-1024x6811[1].jpg	187058
Brahma-Vaivarta Purana	NULL	Hindu Medieval Story	5th Century A.D.	NULL	0000331_brahmavaivarta_purana_300[1].jpeg	187059
John Gardiner	Brainard	American Poet	1796	1828	NULL	187060
Georg	Brandes, fully Georg Morris Cohen Brandes	Danish Critic and+ Scholar	1842	1927	Peder-Severin-Kroyer-xx-Georg-Brandes-xx-Public-Collection[1].jpg	187062
David A.	Brandon	American Director of Intercollegiate Athletics for the University of Michigan, Chairman of the Board, CEO of Domino's Pizza	1952	NULL	12dfc81b0[1].jpg	187063
Grant D.	Brandon	NULL	NULL	NULL	6785-success-without-integrity-is-failure_247x200_width[1].png	187064
Joan L.	Brannon	NULL	NULL	NULL	footprints_2[1].jpg	187066
Joseph	Brant, aka Thayendanegea	Mohawk War Chief, Translator of Religious Documents	1742	1807	200px-Joseph_Brant_painting_by_George_Romney_1776[1].jpg	187067
Wernher von	Braun, fully Wernher Magnus Maximilian, Freiherr von Braun	German-American Rocket Scientist, Aerospace Engineer, Space Architect and Developer of Rocket Technology	1912	1977	Wernher-von-Braun-9224912-1-402[1].jpg	187070
Michael	Braver	Rabbi	1968	NULL	pushing%20face%20into%20sand%20frustration[1].gif	187071
Joseph Hayyim	Brenner	American Intellectual who demanded an open-ended secular Hebrew identity	1881	1921	brenner[1].jpg	187073
Barbara	Brennan	Author	1917	2010	shirley_edited-2.jpg.w300h350[1].jpg	187074
Nicholas	Breton (also Britton or Brittaine)	English Prose Writer, Poet and Novelist	1555	1626	4661_Nicholas%20Breton[1].jpg	187076
Barnett	Brickner	American Rabbi	1926	2005	BAbrickner_mug[1].jpg	187077
Percy W.	Bridgman, fully Percy Williams Bridgman	American Physicist awarded Nobel Prize in Physics	1882	1961	Bridgman1.preview[1].JPG	187078
Robert	Briffault, fully Robert Stephen Briffault	French-born English Surgeon, Social Anthropologist and Novelist	1876	1948	228946_153293758084532_153280681419173_317916_1858476_n[1].jpg	187079
Arthur	Brisbane	American Newspaper Editor, Writer	1864	1936	68595-004-FC49A5C8[1].jpg	187082
Henry	Broadhurst	English Labor Leader, Trade Unionist	1840	1911	170px-Henry_Broadhurst_Vanity_Fair_9_August_1884[1].jpg	187083
John Albert	Broadus	American Clergy	1827	1895	200px-JohnBroadus[1].jpg	187084
Max	Brod	German-speaking Czech and later Israeli Jewish Novelist, Essayist and Composer, Biographer and Literary Executor of Franz Kafka publishing his life's work rather than burning them as instructed	1884	1968	Max_Brod[1].jpg	187085
Henry	Brooke	Irish Author	1703	1783	30251-003-896AAA8E[1].gif	187089
Lord	Brooke, Fulke Greville, 1st Baron Brooke, de jure 13th Baron Latimer and 5th Baron Willoughby de Brooke 	English Elizabethan Poet, Dramatist and Statesman	1554	1628	fulke[1].jpg	187090
Rupert	Brooke	English Poet known for his idealistic war sonnets written during the First World War	1887	1915	brooke_r[1].jpg	187091
Phillips	Brooks	American Episcopal Bishop of Massachusetts, Author, Lyricist of "O Little Town of Bethlehem"	1835	1893	brooks[1].jpg	187092
Thomas	Brooks	English Puritan Divine and Author	1608	1680	tbrooks__1_[1].jpg	187094
Joseph	Brotherton	English Parliamentary Reformer	1783	1857	Owen%20Rbt%201845[1].jpg	187095
Heywood	Broun, fully Matthew Heywood Campbell Broun	American Journalist, Novelist and Columnist	1888	1939	51hLV6InI4L._SL500_AA300_[1].jpg	187097
Gerald Baldwin	Brown	British Art Historian 	1849	1932	scr_Baldwin.Brown[1].jpg	187098
Norman O.	Brown, fully Norman Oliver Brown 	American Classicist Philosopher	1913	2002	NOBin88web9[1].jpg	187101
Elizabeth	Browning, fully Elizabeth Barrett Browning	English Poet, Wife of Robert Browning	1806	1861	elizabeth-browning[1].jpg	187106
Lenny	Bruce, born Leonard Alfred Schneider 	American Jewish Comedian, Cynic, Social Critic and Satirist	1923	1966	Lenny_bruce_on_stage[1].jpg	187108
Paul	Brunton, born Hermann Hirsch, wrote under various pseudonyms including Brunton Paul, Raphael Meriden and Raphael Delmonte	British Philosopher, Mystic, Journalist, Traveler and Guru	1898	1981	Paul-burntonweb[1].jpg	187109
Jean de La	Bruyère 	French Writer, Moralist, "The Theophrastus of France"	1645	1696	220px-Jean_de_La_Bruy%C3%A8re[1].jpg	187110
William Cullen	Bryant	American Poet, Critic, Editor	1794	1878	William_Cullen_Bryant_Cabinet_Card_by_Mora-crop[1].jpg	187112
Samuel Egerton	Brydges	English Poet, Bibliographer and Genealogist, Member of Parliament	1762	1837	mw00877[1].jpg	187114
John	Buchan, Baron Tweedsmuir	English Author	1875	1940	btweedsmuir2[1].jpg	187116
Claudius	Buchanan	Scottish Theologian and Minister of the Church of England	1766	1815	buchanan2[1].jpg	187117
Wilhelm	Büchsel, fully Wilhelm Karl von Gotthilf Büchsel	German Vice-Admiral and Chief of Naval Staff of the Imperial Navy	1848	1920	220px-WP_Wilhelm_B%C3%BCchsel[1].jpg	187118
Bűchler	Sándor or Alexander Bűchler	Hungarian Rabbi and Educator, died in Auschwitz	1869	1944	s%C3%A1ndor+b%C3%BCchler,3[1].jpg	187119
Pearl S.	Buck, fully Pearl Sydenstricker Buck, also known by her Chinese name Sai Zhenzhu	American Novelist and Humanitarian, Nobel Prize in Literature and Pulitzer Prize Winner	1892	1973	220px-Pearl_Buck[1].jpg	187121
Richard Maurice	Bucke, often called Maurice Bucke	Canadian Progressive Psychiatrist and Author, best known for book "Cosmic Consciousness"	1837	1902	bucke-small2[1].jpg	187122
George	Villiers 2nd Duke of Buckingham	English Poet, Statesman	1628	1687	225px-2ndDukeOfBuckingham[1].jpg	187123
Buddha, Gautama Buddha, or The Buddha, also Gotama Buddha, Siddhārtha Gautama Buddha and Buddha Śākyamuni	NULL	Hindu Religious Teacher, Founder of Buddhism	c. 560 B.C.	c. 480 B.C.	samadhi.y.Buddha[1].jpg	187124
Bhadantācariya	Buddhaghoṣa	Indian Theravadin Buddhist Commentator and Scholar, his name means "Voice of the Buddha" in the Pāli language	5th Century	NULL	Buddhaghosa[1].jpg	187125
Satipatthana Sutra	NULL	Buddhist Sutra meaning The Discourse on the Establishing of Mindfulness , Fundamental Teaching of Buddha	NULL	NULL	the-buddha[1].jpeg	187126
Georges-Louis 	Leclerc, Comte de Buffon	French Naturalist, Mathematician, Cosmologist, and Encyclopedic Author	1707	1788	111085[1].jpg	187127
Eldress Harriet	Bullard	Head of Central Ministry, Shaker	1822	1899	harriet-bullard[1].jpg	187128
Ralph 	Bunche, fully Ralph Johnson Bunche	American Diplomat, Civil Rights Activist, Educator and Political Scientist, Awarded Nobel Peace Prize, Chairman Department of Political Science at Howard University, Taught at Harvard University , Member of the New York City Board of Education, Member of the Board of Overseers of Harvard University	c. 1904	1971	ralph+bunche+2[1].jpg	187130
John	Bunyan	English Religious Author	1628	1688	Right[1].JPG	187132
Frank Gelett 	Burgess	American Author, Artist, Art Critic, Poet and Humorist	1866	1951	3038_b_2136[1].jpeg	187138
John M.	Burgess	First African-American Diocesan Bishop in the Episcopal Church	1909	2003	Burgess_thumb[1].jpg	187139
Kenneth	Burke	American Literary Theorist and Critic	1897	1993	Burke[1].jpg	187141
Leo	Burnett	American Advertising Executive, Founder of Leo Burnett Advertising Agency and Chicago School of Advertising	1891	1971	leo_burnett1[1].jpg	187142
Gilbert	Burnet	Scottish Theologian, Historian, Bishop of Salisbury, Cleric, Preacher, Academic, Writer and Historian	1643	1715	220px-Gilbert_Burnet_by_John_Riley[1].jpg	187143
Arthur	Burns, fully Arthur Frank Burns	American Economist, Chairman of the Federal Reserve	1904	1987	arthurburns1[1].png	187145
Robert	Burns, aka Rabbie Burns, Scotland's favourite son, the Ploughman Poet, Robden of Solway Firth, the Bard of Ayrshire and in Scotland as simply The Bard	Scottish Poet and Lyricist, Pioneer of the Romantic Movement	1759	1796	230px-PG_1063Burns_Naysmithcrop[1].jpg	187147
Jeremiah	Burroughs or Burroughes	English Congregationalist and Puritan Preacher	c. 1600	1646	220px-Jeremiah_Burroughs[1].jpg	187148
V. W.	Burrows	NULL	NULL	NULL	TR10[1].gif	187150
Marion LeRoy	Burton	American Educator, President of Smith College and President of the University of Minnesota and President of the University of Michigan	1874	1925	Burton%20bl003651[1].jpg	187151
Richard Francis	Burton, fully Sir Richard Francis Burton	English Explorer, Geographer, Translator, Writer, Soldier, Orientalist, Cartographer, Ethnologist, Spy, Linguist, Poet, Fencer, Diplomat and Writer of Travel Books	1821	1890	burton_richard[1].jpg	187152
Horace	Bushnell	American Clergy	1802	1876	220px-HoraceBushnellOld[1].jpg	187154
Willard C.	Butcher, fully Willard Carlisle Butcher	American Businessman, Chairman and CEO of The Chase Manhattan Bank	1926	2012	img-willard-c-butcher_093627416781.jpg_item_large[1].jpg	187156
Samuel	Butler	English Poet, Novelist, Scholar, Translator	1835	1902	220px-Samuel_Butler_by_Charles_Gogin[1].jpg	187158
Joseph	Butler	English Bishop	1692	1752	joseph-butler[1].jpg	187159
Stephen	Butterfield	American English Professor, Author	NULL	NULL	tony385_170864a[1].jpg	187161
Margaret M.	Butts	NULL	1877	1970	here-is-something-to-laugh-about-4[1].png	187162
Richard E.	Byrd, fully Richard Evelyn Byrd, Jr.	American Naval Officer, Pioneer, Aviator, Polar Explorer	1888	1957	Byrd[1].jpg	187164
John	Byron, aka 'Mad Jack' 	British Vice Admiral, Father of Poet Lord Byron	1773	1786	JByron[1].jpg	187167
Charles	Cahier	French Antiquarian	1807	1882	Charles-martin-Hall[1].jpg	187174
John	Caird	Scottish Divine and Theologian	1822	1898	467px-John_Caird_%28theologian%29[1].jpg	187175
Gaius	Marius	Roman General and Statesman holding the Office of Consul seven times	157 B.C.	86 B.C.	1352778881[1].jpg	187176
Callimachus	NULL	Greek Poet, Scholar	305	240 B.C.	4711_Callimachus[1].jpg	187178
Charles Stuart	Calverley	English Barrister, Writer, Poet, Wit	1831	1884	Charles-Caverley[1].jpg	187179
William	Camden	English Antiquary, Historian, Topographer and Officer of Arms	1551	1623	william+camden[1].jpg	187180
Hugh C.	Cameron	American Brigadier General, Vice Commander, 9TH Air Force, U.S. Central Command Air Forces	NULL	NULL	Hugh_C._Cameron[1].jpg	187181
George	Campbell	Scottish Divine,Presbyterian Minister, Enlightenment Philosopher, Theologian	1719	1796	george_campbell[1].jpg	187183
Albert	Camus	French Philosopher, Novelist, Playwright, Journalist	1913	1960	600full-albert-camus[1].jpg	187185
Jean-Pierre	Camus de Pontcarré	French Bishop, Preacher and Author of Fiction and Spirituality	1584	1652	portrait_of_bishop__jean_pierre_camus_1643_XX_museum_voor_sc[1].jpg	187186
Canassatego Treaty of Lancaster	NULL	Canassatego, Onondaga Chief.  Treaty concluded between the Six Nations (Iroquois) and the colonies of Virginia and Maryland. Deliberations began at Lancaster, Pennsylvania on June 28, and ended on July 4, 1744.	1744	NULL	0[3].jpg	187187
George	Canning	English Statesman, Orator, Prime Minister of the United Kingdom	1770	1827	PRcanning1[1].jpg	187189
Anne 	Vaughan, Countess of Carberry	Daughter of George Savile, 1st Marquess of Halifax and his first wife, Lady Dorothy Spencer	c. 1670	NULL	nwm_chcc_1996_0079_290x216[1].jpg	187190
Liane	Cardes	NULL	NULL	NULL	unlock-potential[1].jpg	187191
Elizabeth	Carew, Lady Carew, formerly Lady Elizabeth Bryan	English Writer and Courtier	c. 1500	NULL	carew,anne(resized)[1].jpg	187193
Alexander	Carlile	Scottish Divine	1721	1805	atomic-test-2[1].jpg	187194
Andrew	Carnegie	Scottish-American Capitalist and Philanthropist	1835	1919	andrew-carnegie[1].jpg	187196
Charles Edwin	Carruthers	17th Maine Infantry at Gettysburg	NULL	1863	judging-others[1].jpg	187201
Alice	Cary	American Poet	1820	1871	8ed01[1].jpg	187204
Pablo	Casals, fully Pau Casals i Defilló 	Spanish Cellist and Conductor	1876	1973	pm-48847-medium[1].jpg	187205
Edward S.	Casey	American Philosopher, President of the American Philosophical Association, Chairman of the Philosophy Department at Stony Brook University	NULL	NULL	casey[1].jpg	187206
Cassius, fully Gaius Cassius Longinus	NULL	Roman Army Officer, Led Conspiracy to Murder Caeser	85 B.C.	42 B.C.	juliuscaesarbust[1].jpg	187208
Catherine II "Catherine the Great", born Sophie Friederike Auguste von Anhalt-Zerbst-Dornburg	NULL	Empress of Russia, Wife of  Peter III	1729	1796	catherineii[1].jpg	187212
Mary Hartwell	Catherwood	American Novelist, Writer of historical romances, short stories in periodicals such as Lippincott's Magazine, Harper’s Magazine, and the Atlantic Monthly	1847	1901	catherwo-portrait[1].jpg	187213
Carrie Chapman	Catt	American Feminist Leader	1859	1947	file_name_3783[1].jpg	187215
Camillo	Benso, Count of Cavour, fully Camillo Paolo Filippo Giulio Benso, conte di Cavour	Italian Piedmontese Statesman, Politician and Patriot, Minister of the Kingdom of Sardinia, First President of the Council of Ministers 	1810	1861	1[1].jpg	187218
Edgar	Cayce, known as the "Sleeping Prophet"	American Psychic, "father of holistic medicine," and the most documented psychic of the 20th century. For more than 40 years, Cayce gave psychic "readings" to thousands of seekers while in an unconscious state, diagnosing illnesses and revealing lives lived in the past and prophecies yet to come	1877	1945	Edgar_Cayce_1[1].jpg	187219
Richard	Cecil	English Divine, Leading Evangelical Anglican	1748	1777	cecil_r.jpg	187220
Benvenuto	Cellini	Florentine Goldsmith Sculptor, Autobiographer	1500	1571	Benvenuto%20Cellini%20-%20Busto%20di%20Bindo%20Altoviti%20(Boston,%20Isabella%20Stewart%20Gardner%20Museum,%201549)[1].jpg	187221
Miguel de	Cervantes, fully Miguel de Cervantes Saaversa	Spanish Novelist, Dramatist, Poet and Playwright best known for his magnum opus, Don Quixote	1547	1616	CERVANTES-new[1].jpg	187222
Florence May	Chadwick	American Swimmer, First Woman to swim the English Channel in both directions	1918	1995	florence+chadwick[1].jpg	187224
Marc	Chagall, born Moishe Shagal	Rusian-born French Modernist Painter	1887	1985	self-portrait-with-easel-1914[1].jpg	187225
Chagdud	Tulku Rinpoche	Tibetan Buddhist Lama, Artist, Sculptor, Painter, Doctor, Founder Mahakaruna Foundation, lama in the Gelugpa sect	1930	2002	240px-Chagdud_tulku_rinpoche[1].JPG	187226
Zvi Hirsch	Chajes	Galician Talmudic Scholar	1805	1855	Zvi_Hirsch_Chajes[1].JPG	187227
Allan	Chalmers, fully Allan Knight Chalmers	Presbyterian Evangelist, Leader in Pacifist Movement, Mentor to Martin Luther King, Jr.	1897	1972	image024[1].gif	187228
Thomas	Chalmers	Scottish Presbyterian Minister and Theologian	1780	1847	thomas-chalmers1[1].jpg	187229
Whittaker	Chambers, born Jay Vivian Chambers, aka Jay David Whittaker Chambers	American Editor, Journalist and Writer	1901	1961	chambers_whittaker-19971204022R.2_png_380x600_crop_q85[1].png	187230
Raymond	Chandler, fully Raymond Thornton Chandler	American Fiction Author,Novelist and Screenwriter	1888	1959	Raymond-Chandler-Splash_7824[1].jpg	187232
Rabbi Chanina Bar Chama	NULL	Babylonian Hassidic Talmudic Sage who interpreted the Mishna	c. 180	c. 260	jewish-rabbi-dressed_~k6009671[1].jpg	187235
William Ellery	Channing	American Unitarian Clergy	1780	1842	WilliamElleryChanning[1].jpg	187236
Edwin Hubbell	Chapin	American Unitarian Clergy	1814	1880	edwin-hubbell-chapin[1].jpg	187237
René	Char	French Poet	1907	1988	rene-char[1].jpg	187240
Charles I	NULL	Charles I was King of England, King of Scotland, and King of Ireland until his execution 	1600	1649	Charles_1[1].jpg	187243
François Ignace Dunod 	De Charnage	French Jurist and Historian	1679	1752	691F2-jurist[1].jpg	187244
Pierre	Charron	French Catholic Priest and Philosopher	1541	1603	DA68396b[1].jpg	187245
